Year,GDP_Growth
1960,
1961,-7.77463490371655
1962,9.45735874072126
1963,8.77834021621184
1964,4.96446728844091
1965,2.00909417103099
1966,14.7285664015687
1967,3.36123203258556
1968,7.9826899693479
1969,7.9592244594956
1970,-4.65544691647621
1971,22.1738919255764
1972,17.082429349983
1973,5.89658021016672
1974,4.06561734893735
1975,0.882203175319148
1976,2.15396450322561
1977,9.45379784408087
1978,6.91249354626197
1979,7.61522604591983
1980,5.5919762059677
1981,3.77354419402822
1982,1.50647825757706
1983,1.3090502411486
1984,1.75521697703473
1985,4.30056181879613
1986,7.17755539065963
1987,5.93710744420895
1988,6.20318382314591
1989,4.69034876792047
1990,4.19205097155167
1991,1.43834679171559
1992,-0.799493958641349
1993,0.353197256227247
1994,2.632784517837
1995,4.40621652482287
1996,4.14683926876013
1997,0.474901921293579
1998,3.29021372249065
1999,2.30538859522412
2000,0.599695390807426
2001,3.77990649795343
2002,0.546859530175595
2003,2.93247554570904
2004,5.10429977629738
2005,5.90666607980057
2006,6.47249430015484
2007,6.85072976998784
2008,0.232282744812977
2009,3.30693981631089
2010,8.05847360290906
2011,5.1211061197056
2012,4.56867961444982
2013,3.7978483925754
2014,5.02011100232484
2015,4.96772112759767
2016,4.21351706814744
2017,3.83795817364721
2018,5.64794640709219
2019,5.11415885767801
2020,-0.272766327438816
2021,7.59048947333467
2022,4.85998104287999
2023,5.71999241214208
2024,4.72473994710138
2025,
