Year,Investment
1960,
1961,
1962,
1963,
1964,13.0642044886443
1965,14.3939448355625
1966,18.6102406094926
1967,20.1726487960018
1968,20.048828933212
1969,19.3721800902371
1970,24.3966751650194
1971,23.9159870264823
1972,22.3173000265745
1973,25.811225663213
1974,25.7556330724993
1975,18.1398934570068
1976,20.2442178040726
1977,23.7233211462982
1978,29.7892893210325
1979,18.1327783022916
1980,24.5071406229961
1981,22.9134416924665
1982,21.8602148394683
1983,20.9250655214958
1984,19.8110319511085
1985,25.3248237306024
1986,21.7680371734426
1987,24.2894328729648
1988,25.4490410212095
1989,24.8620776143297
1990,24.1640928963226
1991,20.9705148585975
1992,16.9208390832406
1993,17.6104350597216
1994,19.2932429676681
1995,21.8197611034428
1996,15.0038226855311
1997,15.1409881437805
1998,16.6927164077638
1999,15.5214148674685
2000,17.4140906154511
2001,18.790340524259
2002,15.1382158893462
2003,16.4821493891933
2004,16.962495556485
2005,17.6496847904784
2006,18.633585404403
2007,20.4569783889085
2008,19.6127114227698
2009,19.0191724248254
2010,21.2639987992095
2011,21.8858122759467
2012,22.1933629258823
2013,22.4049681039862
2014,24.9507189987733
2015,22.1033982020293
2016,19.3484358309332
2017,20.6634949022773
2018,19.3759862497025
2019,19.3418324204191
2020,19.6515841707054
2021,20.3912447822361
2022,19.0540638513609
2023,16.5707504717762
2024,16.7771560971022
2025,
